index,axis-0,axis-1,axis-2
0.0,20.0,54.53147425037507,97.90160123817662
1.0,21.0,53.99788361074384,97.71685290546307
2.0,22.0,53.68707198880269,98.18307033837479
3.0,23.0,53.99788361074384,98.02766452740423
4.0,24.0,52.910042933949825,98.18307033837479
5.0,25.0,51.822202257155816,98.33847614934535
6.0,26.0,52.754637122979254,98.18307033837479
7.0,27.0,51.66679644618524,97.71685290546307
8.0,28.0,51.51139063521467,97.87225871643363
9.0,29.0,51.51139063521467,97.87225871643363
10.0,30.0,51.355984824244096,97.87225871643363
11.0,31.0,51.822202257155816,98.02766452740423
12.0,32.0,52.443825501038106,97.87225871643363
13.0,10.0,53.85588363683928,98.16519653439023
14.0,3.0,56.12499412415955,99.93006024675044
15.0,4.0,56.25105581789956,100.05612194049046
16.0,5.0,56.12499412415955,100.4343070217105
17.0,6.0,56.12499412415955,98.41731992187026
18.0,7.0,55.62074734919949,98.03913484065022
19.0,8.0,54.8643771867594,96.40033282203002
20.0,9.0,54.8643771867594,98.16519653439023
21.0,11.0,53.9819453305793,98.16519653439023
22.0,12.0,54.738315493019385,97.91307314691021
23.0,13.0,54.99043888049942,98.03913484065022
24.0,14.0,54.8643771867594,97.91307314691021
25.0,15.0,55.11650057423943,98.03913484065022
26.0,16.0,55.242562267979444,97.1567029844701
27.0,17.0,55.60494623704151,97.77996580711142
28.0,18.0,56.11623826734447,98.18899943135379
29.0,46.0,114.11111172425038,113.75401540223396
30.0,47.0,114.11111172425038,113.04548786485373
31.0,48.0,114.11111172425038,113.28166371064714
32.0,126.0,69.34737758177629,56.265525634468446
33.0,127.0,68.41494271595285,55.954714012527305
34.0,128.0,68.10413109401169,55.954714012527305
35.0,129.0,68.10413109401169,55.488496579615585
36.0,130.0,67.79331947207055,56.731743067380165
37.0,131.0,69.03656595983513,56.11011982349787
38.0,132.0,69.34737758177629,55.64390239058615
39.0,133.0,68.72575433789399,56.265525634468446
40.0,134.0,69.19197177080571,55.954714012527305
41.0,135.0,68.41494271595285,56.11011982349787
42.0,136.0,69.19197177080571,55.79930820155673
43.0,137.0,67.63791366109997,55.79930820155673
44.0,138.0,67.63791366109997,53.77903265893927
45.0,139.0,67.94872528304113,54.55606171379215
46.0,139.0,72.30008799021718,51.914162927292395
47.0,140.0,68.72575433789399,55.022279146703866
48.0,140.0,72.45549380118776,52.224974549233536
49.0,141.0,67.01629041721768,54.71146752476271
50.0,141.0,73.3879286670112,52.06956873826296
51.0,142.0,68.41494271595285,54.40065590282157
52.0,143.0,68.25953690498227,55.022279146703866
53.0,144.0,66.86088460624711,54.24525009185099
54.0,145.0,66.70547879527653,52.691191982145256
55.0,146.0,67.17169622818825,53.31281522602755
56.0,147.0,67.17169622818825,54.24525009185099
57.0,148.0,67.32710203915883,54.08984428088041
